파일명,시스템콜,해당함수
uname_test_graph.txt,newuname,down_read
uname_test_graph.txt,newuname,_cond_resched
uname_test_graph.txt,newuname,rcu_all_qs
uname_test_graph.txt,newuname,up_read
uname_test_graph.txt,newfstat,vfs_statx_fd
uname_test_graph.txt,newfstat,__fdget_raw
uname_test_graph.txt,newfstat,__fget_light
uname_test_graph.txt,newfstat,vfs_getattr
uname_test_graph.txt,newfstat,security_inode_getattr
uname_test_graph.txt,newfstat,apparmor_inode_getattr
uname_test_graph.txt,newfstat,common_perm_cond
uname_test_graph.txt,newfstat,common_perm
uname_test_graph.txt,newfstat,vfs_getattr_nosec
uname_test_graph.txt,newfstat,generic_fillattr
uname_test_graph.txt,newfstat,cp_new_stat
uname_test_graph.txt,newfstat,from_kuid_munged
uname_test_graph.txt,newfstat,map_id_up
uname_test_graph.txt,newfstat,from_kgid_munged
uname_test_graph.txt,newfstat,map_id_up
uname_test_graph.txt,write,ksys_write
uname_test_graph.txt,write,__fdget_pos
uname_test_graph.txt,write,__fget_light
uname_test_graph.txt,write,vfs_write
uname_test_graph.txt,write,rw_verify_area
uname_test_graph.txt,write,security_file_permission
uname_test_graph.txt,write,apparmor_file_permission
uname_test_graph.txt,write,common_file_perm
uname_test_graph.txt,write,aa_file_perm
uname_test_graph.txt,write,__vfs_write
uname_test_graph.txt,write,tty_write
uname_test_graph.txt,write,tty_paranoia_check
uname_test_graph.txt,write,tty_ldisc_ref_wait
uname_test_graph.txt,write,ldsem_down_read
uname_test_graph.txt,write,_cond_resched
uname_test_graph.txt,write,rcu_all_qs
uname_test_graph.txt,write,smp_irq_work_interrupt
uname_test_graph.txt,write,irq_enter
uname_test_graph.txt,write,rcu_irq_enter
uname_test_graph.txt,write,__wake_up
uname_test_graph.txt,write,__wake_up_common_lock
uname_test_graph.txt,write,_raw_spin_lock_irqsave
uname_test_graph.txt,write,__wake_up_common
uname_test_graph.txt,write,_raw_spin_unlock_irqrestore
uname_test_graph.txt,write,irq_exit
uname_test_graph.txt,write,idle_cpu
uname_test_graph.txt,write,rcu_irq_exit
uname_test_graph.txt,write,tty_write_lock
uname_test_graph.txt,write,mutex_trylock
uname_test_graph.txt,write,__check_object_size
uname_test_graph.txt,write,check_stack_object
uname_test_graph.txt,write,__virt_addr_valid
uname_test_graph.txt,write,__check_heap_object
uname_test_graph.txt,write,n_tty_write
uname_test_graph.txt,write,down_read
uname_test_graph.txt,write,_cond_resched
uname_test_graph.txt,write,rcu_all_qs
uname_test_graph.txt,write,process_echoes
uname_test_graph.txt,write,add_wait_queue
uname_test_graph.txt,write,_raw_spin_lock_irqsave
uname_test_graph.txt,write,_raw_spin_unlock_irqrestore
uname_test_graph.txt,write,smp_irq_work_interrupt
uname_test_graph.txt,write,irq_enter
uname_test_graph.txt,write,rcu_irq_enter
uname_test_graph.txt,write,__wake_up
uname_test_graph.txt,write,__wake_up_common_lock
uname_test_graph.txt,write,_raw_spin_lock_irqsave
uname_test_graph.txt,write,__wake_up_common
uname_test_graph.txt,write,_raw_spin_unlock_irqrestore
uname_test_graph.txt,write,irq_exit
uname_test_graph.txt,write,idle_cpu
uname_test_graph.txt,write,rcu_irq_exit
uname_test_graph.txt,write,smp_irq_work_interrupt
uname_test_graph.txt,write,irq_enter
uname_test_graph.txt,write,rcu_irq_enter
uname_test_graph.txt,write,__wake_up
uname_test_graph.txt,write,__wake_up_common_lock
uname_test_graph.txt,write,_raw_spin_lock_irqsave
