파일명,시스템콜,해당함수
uselib_1_graph.txt,newfstat,vfs_statx_fd
uselib_1_graph.txt,newfstat,__fdget_raw
uselib_1_graph.txt,newfstat,__fget_light
uselib_1_graph.txt,newfstat,vfs_getattr
uselib_1_graph.txt,newfstat,security_inode_getattr
uselib_1_graph.txt,newfstat,apparmor_inode_getattr
uselib_1_graph.txt,newfstat,common_perm_cond
uselib_1_graph.txt,newfstat,common_perm
uselib_1_graph.txt,newfstat,vfs_getattr_nosec
uselib_1_graph.txt,newfstat,generic_fillattr
uselib_1_graph.txt,newfstat,cp_new_stat
uselib_1_graph.txt,newfstat,from_kuid_munged
uselib_1_graph.txt,newfstat,map_id_up
uselib_1_graph.txt,newfstat,from_kgid_munged
uselib_1_graph.txt,newfstat,map_id_up
uselib_1_graph.txt,access,do_faccessat
uselib_1_graph.txt,access,prepare_creds
uselib_1_graph.txt,access,kmem_cache_alloc
uselib_1_graph.txt,access,_cond_resched
uselib_1_graph.txt,access,rcu_all_qs
uselib_1_graph.txt,access,should_failslab
uselib_1_graph.txt,access,memcg_kmem_get_cache
uselib_1_graph.txt,access,memcg_kmem_put_cache
uselib_1_graph.txt,access,security_prepare_creds
uselib_1_graph.txt,access,__kmalloc
uselib_1_graph.txt,access,kmalloc_slab
uselib_1_graph.txt,access,_cond_resched
uselib_1_graph.txt,access,rcu_all_qs
uselib_1_graph.txt,access,smp_irq_work_interrupt
uselib_1_graph.txt,access,irq_enter
uselib_1_graph.txt,access,rcu_irq_enter
uselib_1_graph.txt,access,__wake_up
uselib_1_graph.txt,access,__wake_up_common_lock
uselib_1_graph.txt,access,_raw_spin_lock_irqsave
uselib_1_graph.txt,access,__wake_up_common
uselib_1_graph.txt,access,_raw_spin_unlock_irqrestore
uselib_1_graph.txt,access,irq_exit
uselib_1_graph.txt,access,idle_cpu
uselib_1_graph.txt,access,rcu_irq_exit
uselib_1_graph.txt,access,should_failslab
uselib_1_graph.txt,access,memcg_kmem_get_cache
uselib_1_graph.txt,access,memcg_kmem_put_cache
uselib_1_graph.txt,access,apparmor_cred_prepare
uselib_1_graph.txt,access,make_kuid
uselib_1_graph.txt,access,map_id_range_down
uselib_1_graph.txt,access,override_creds
uselib_1_graph.txt,access,user_path_at_empty
uselib_1_graph.txt,access,getname_flags
uselib_1_graph.txt,access,kmem_cache_alloc
uselib_1_graph.txt,access,_cond_resched
uselib_1_graph.txt,access,rcu_all_qs
uselib_1_graph.txt,access,should_failslab
uselib_1_graph.txt,access,memcg_kmem_put_cache
uselib_1_graph.txt,access,__check_object_size
uselib_1_graph.txt,access,check_stack_object
uselib_1_graph.txt,access,__virt_addr_valid
uselib_1_graph.txt,access,__check_heap_object
uselib_1_graph.txt,access,filename_lookup
uselib_1_graph.txt,access,path_lookupat
uselib_1_graph.txt,access,path_init
uselib_1_graph.txt,access,set_root
uselib_1_graph.txt,access,nd_jump_root
uselib_1_graph.txt,access,link_path_walk.part.33
uselib_1_graph.txt,access,inode_permission
uselib_1_graph.txt,access,generic_permission
uselib_1_graph.txt,access,security_inode_permission
uselib_1_graph.txt,access,walk_component
uselib_1_graph.txt,access,lookup_fast
uselib_1_graph.txt,access,__d_lookup_rcu
uselib_1_graph.txt,access,__follow_mount_rcu.isra.28
uselib_1_graph.txt,access,__lookup_mnt
uselib_1_graph.txt,access,walk_component
uselib_1_graph.txt,access,lookup_fast
uselib_1_graph.txt,access,__d_lookup_rcu
uselib_1_graph.txt,access,unlazy_walk
uselib_1_graph.txt,access,legitimize_links
uselib_1_graph.txt,access,legitimize_path.isra.30
uselib_1_graph.txt,access,__legitimize_mnt
uselib_1_graph.txt,access,smp_irq_work_interrupt
uselib_1_graph.txt,access,irq_enter
uselib_1_graph.txt,access,rcu_irq_enter
uselib_1_graph.txt,access,__wake_up
uselib_1_graph.txt,access,__wake_up_common_lock
uselib_1_graph.txt,access,_raw_spin_lock_irqsave
uselib_1_graph.txt,access,__wake_up_common
uselib_1_graph.txt,access,pollwake
uselib_1_graph.txt,access,default_wake_function
uselib_1_graph.txt,access,try_to_wake_up
uselib_1_graph.txt,access,_raw_spin_lock_irqsave
uselib_1_graph.txt,access,select_task_rq_fair
uselib_1_graph.txt,access,select_idle_sibling
uselib_1_graph.txt,access,available_idle_cpu
uselib_1_graph.txt,access,_raw_spin_unlock_irqrestore
uselib_1_graph.txt,access,_raw_spin_unlock_irqrestore
uselib_1_graph.txt,access,irq_exit
uselib_1_graph.txt,access,idle_cpu
uselib_1_graph.txt,access,rcu_irq_exit
uselib_1_graph.txt,access,legitimize_root
uselib_1_graph.txt,access,legitimize_path.isra.30
uselib_1_graph.txt,access,__legitimize_mnt
uselib_1_graph.txt,access,lookup_slow
uselib_1_graph.txt,access,down_read
uselib_1_graph.txt,access,_cond_resched
uselib_1_graph.txt,access,rcu_all_qs
uselib_1_graph.txt,access,__lookup_slow
uselib_1_graph.txt,access,d_alloc_parallel
uselib_1_graph.txt,access,d_alloc
uselib_1_graph.txt,access,__d_alloc
uselib_1_graph.txt,access,kmem_cache_alloc
uselib_1_graph.txt,access,_cond_resched
uselib_1_graph.txt,access,rcu_all_qs
uselib_1_graph.txt,access,should_failslab
uselib_1_graph.txt,access,memcg_kmem_get_cache
uselib_1_graph.txt,access,memcg_kmem_put_cache
uselib_1_graph.txt,access,d_set_d_op
uselib_1_graph.txt,access,_raw_spin_lock
uselib_1_graph.txt,access,__d_lookup_rcu
uselib_1_graph.txt,access,ext4_lookup
uselib_1_graph.txt,access,ext4_fname_setup_ci_filename
uselib_1_graph.txt,access,__ext4_find_entry
uselib_1_graph.txt,access,_cond_resched
uselib_1_graph.txt,access,rcu_all_qs
uselib_1_graph.txt,access,ext4_bread_batch
uselib_1_graph.txt,access,ext4_getblk
uselib_1_graph.txt,access,ext4_map_blocks
uselib_1_graph.txt,access,ext4_es_lookup_extent
uselib_1_graph.txt,access,_raw_read_lock
uselib_1_graph.txt,access,__check_block_validity.constprop.85
uselib_1_graph.txt,access,ext4_inode_block_valid
uselib_1_graph.txt,access,ext4_data_block_valid_rcu.isra.5
uselib_1_graph.txt,access,__getblk_gfp
uselib_1_graph.txt,access,__find_get_block
uselib_1_graph.txt,access,pagecache_get_page
uselib_1_graph.txt,access,find_get_entry
uselib_1_graph.txt,access,smp_irq_work_interrupt
uselib_1_graph.txt,access,irq_enter
uselib_1_graph.txt,access,rcu_irq_enter
uselib_1_graph.txt,access,__wake_up
uselib_1_graph.txt,access,__wake_up_common_lock
uselib_1_graph.txt,access,irq_exit
uselib_1_graph.txt,access,idle_cpu
uselib_1_graph.txt,access,rcu_irq_exit
uselib_1_graph.txt,access,smp_apic_timer_interrupt
uselib_1_graph.txt,access,irq_enter
uselib_1_graph.txt,access,rcu_irq_enter
uselib_1_graph.txt,access,hrtimer_interrupt
uselib_1_graph.txt,access,_raw_spin_lock_irqsave
uselib_1_graph.txt,access,ktime_get_update_offsets_now
uselib_1_graph.txt,access,__hrtimer_run_queues
uselib_1_graph.txt,access,hrtimer_update_next_event
uselib_1_graph.txt,access,_raw_spin_unlock_irqrestore
uselib_1_graph.txt,access,tick_program_event
uselib_1_graph.txt,access,irq_exit
uselib_1_graph.txt,access,ksoftirqd_running
uselib_1_graph.txt,access,__do_softirq
uselib_1_graph.txt,access,idle_cpu
uselib_1_graph.txt,access,rcu_irq_exit
uselib_1_graph.txt,access,PageHuge
uselib_1_graph.txt,access,mark_page_accessed
uselib_1_graph.txt,access,_raw_spin_lock
uselib_1_graph.txt,access,smp_reschedule_interrupt
uselib_1_graph.txt,access,scheduler_ipi
uselib_1_graph.txt,access,irq_enter
uselib_1_graph.txt,access,rcu_irq_enter
uselib_1_graph.txt,access,sched_ttwu_pending
uselib_1_graph.txt,access,_raw_spin_lock_irqsave
