파일명,시스템콜,해당함수
test_ustat_graph.txt,newstat,vfs_statx
test_ustat_graph.txt,newstat,user_path_at_empty
test_ustat_graph.txt,newstat,getname_flags
test_ustat_graph.txt,newstat,kmem_cache_alloc
test_ustat_graph.txt,newstat,_cond_resched
test_ustat_graph.txt,newstat,rcu_all_qs
test_ustat_graph.txt,newstat,should_failslab
test_ustat_graph.txt,newstat,memcg_kmem_put_cache
test_ustat_graph.txt,newstat,__check_object_size
test_ustat_graph.txt,newstat,check_stack_object
test_ustat_graph.txt,newstat,__virt_addr_valid
test_ustat_graph.txt,newstat,__check_heap_object
test_ustat_graph.txt,newstat,filename_lookup
test_ustat_graph.txt,newstat,path_lookupat
test_ustat_graph.txt,newstat,path_init
test_ustat_graph.txt,newstat,set_root
test_ustat_graph.txt,newstat,nd_jump_root
test_ustat_graph.txt,newstat,link_path_walk.part.33
test_ustat_graph.txt,newstat,inode_permission
test_ustat_graph.txt,newstat,generic_permission
test_ustat_graph.txt,newstat,security_inode_permission
test_ustat_graph.txt,newstat,walk_component
test_ustat_graph.txt,newstat,lookup_fast
test_ustat_graph.txt,newstat,__d_lookup_rcu
test_ustat_graph.txt,newstat,__follow_mount_rcu.isra.28
test_ustat_graph.txt,newstat,complete_walk
test_ustat_graph.txt,newstat,unlazy_walk
test_ustat_graph.txt,newstat,legitimize_links
test_ustat_graph.txt,newstat,legitimize_path.isra.30
test_ustat_graph.txt,newstat,__legitimize_mnt
test_ustat_graph.txt,newstat,legitimize_root
test_ustat_graph.txt,newstat,terminate_walk
test_ustat_graph.txt,newstat,dput
test_ustat_graph.txt,newstat,smp_irq_work_interrupt
test_ustat_graph.txt,newstat,irq_enter
test_ustat_graph.txt,newstat,rcu_irq_enter
test_ustat_graph.txt,newstat,__wake_up
test_ustat_graph.txt,newstat,__wake_up_common_lock
test_ustat_graph.txt,newstat,_raw_spin_lock_irqsave
test_ustat_graph.txt,newstat,__wake_up_common
test_ustat_graph.txt,newstat,_raw_spin_unlock_irqrestore
test_ustat_graph.txt,newstat,irq_exit
test_ustat_graph.txt,newstat,idle_cpu
test_ustat_graph.txt,newstat,rcu_irq_exit
test_ustat_graph.txt,newstat,mntput
test_ustat_graph.txt,newstat,restore_nameidata
test_ustat_graph.txt,newstat,putname
test_ustat_graph.txt,newstat,kmem_cache_free
test_ustat_graph.txt,newstat,vfs_getattr
test_ustat_graph.txt,newstat,security_inode_getattr
test_ustat_graph.txt,newstat,apparmor_inode_getattr
test_ustat_graph.txt,newstat,common_perm_cond
test_ustat_graph.txt,newstat,common_perm
test_ustat_graph.txt,newstat,vfs_getattr_nosec
test_ustat_graph.txt,newstat,ext4_getattr
test_ustat_graph.txt,newstat,generic_fillattr
test_ustat_graph.txt,newstat,path_put
test_ustat_graph.txt,newstat,dput
test_ustat_graph.txt,newstat,_cond_resched
test_ustat_graph.txt,newstat,rcu_all_qs
test_ustat_graph.txt,newstat,mntput
test_ustat_graph.txt,newstat,mntput_no_expire
test_ustat_graph.txt,newstat,cp_new_stat
test_ustat_graph.txt,newstat,from_kuid_munged
test_ustat_graph.txt,newstat,map_id_up
test_ustat_graph.txt,newstat,from_kgid_munged
test_ustat_graph.txt,newstat,map_id_up
test_ustat_graph.txt,ustat,vfs_ustat
test_ustat_graph.txt,ustat,user_get_super
test_ustat_graph.txt,ustat,_raw_spin_lock
test_ustat_graph.txt,ustat,down_read
test_ustat_graph.txt,ustat,_cond_resched
test_ustat_graph.txt,ustat,rcu_all_qs
test_ustat_graph.txt,ustat,smp_irq_work_interrupt
test_ustat_graph.txt,ustat,irq_enter
test_ustat_graph.txt,ustat,rcu_irq_enter
test_ustat_graph.txt,ustat,__wake_up
test_ustat_graph.txt,ustat,__wake_up_common_lock
test_ustat_graph.txt,ustat,_raw_spin_lock_irqsave
test_ustat_graph.txt,ustat,__wake_up_common
test_ustat_graph.txt,ustat,_raw_spin_unlock_irqrestore
test_ustat_graph.txt,ustat,irq_exit
test_ustat_graph.txt,ustat,idle_cpu
test_ustat_graph.txt,ustat,rcu_irq_exit
test_ustat_graph.txt,ustat,statfs_by_dentry
test_ustat_graph.txt,ustat,security_sb_statfs
test_ustat_graph.txt,ustat,ext4_statfs
test_ustat_graph.txt,ustat,_raw_spin_lock_irqsave
test_ustat_graph.txt,ustat,_raw_spin_unlock_irqrestore
test_ustat_graph.txt,ustat,drop_super
test_ustat_graph.txt,ustat,up_read
test_ustat_graph.txt,ustat,put_super
test_ustat_graph.txt,ustat,_raw_spin_lock
