파일명,시스템콜,해당함수
test_wait4_16_graph.txt,wait4,kernel_wait4
test_wait4_16_graph.txt,wait4,do_wait
test_wait4_16_graph.txt,wait4,add_wait_queue
test_wait4_16_graph.txt,wait4,_raw_spin_lock_irqsave
test_wait4_16_graph.txt,wait4,_raw_spin_unlock_irqrestore
test_wait4_16_graph.txt,wait4,_raw_read_lock
test_wait4_16_graph.txt,wait4,remove_wait_queue
test_wait4_16_graph.txt,wait4,_raw_spin_lock_irqsave
test_wait4_16_graph.txt,wait4,_raw_spin_unlock_irqrestore
test_wait4_16_graph.txt,wait4,put_pid
test_wait4_16_graph.txt,dup,ksys_dup
test_wait4_16_graph.txt,dup,get_unused_fd_flags
test_wait4_16_graph.txt,dup,__alloc_fd
test_wait4_16_graph.txt,dup,_raw_spin_lock
test_wait4_16_graph.txt,dup,expand_files
test_wait4_16_graph.txt,dup,__fd_install
test_wait4_5_graph.txt,wait4,kernel_wait4
test_wait4_5_graph.txt,dup,ksys_dup
test_wait4_5_graph.txt,dup,smp_irq_work_interrupt
test_wait4_5_graph.txt,dup,irq_enter
test_wait4_5_graph.txt,dup,rcu_irq_enter
test_wait4_5_graph.txt,dup,__wake_up
test_wait4_5_graph.txt,dup,__wake_up_common_lock
test_wait4_5_graph.txt,dup,_raw_spin_lock_irqsave
test_wait4_5_graph.txt,dup,__wake_up_common
test_wait4_5_graph.txt,dup,_raw_spin_unlock_irqrestore
test_wait4_5_graph.txt,dup,irq_exit
test_wait4_5_graph.txt,dup,idle_cpu
test_wait4_5_graph.txt,dup,rcu_irq_exit
test_wait4_5_graph.txt,dup,get_unused_fd_flags
test_wait4_5_graph.txt,dup,__alloc_fd
test_wait4_5_graph.txt,dup,_raw_spin_lock
test_wait4_5_graph.txt,dup,expand_files
test_wait4_5_graph.txt,dup,__fd_install
test_wait4_11_graph.txt,wait4,kernel_wait4
test_wait4_11_graph.txt,wait4,do_wait
test_wait4_11_graph.txt,wait4,add_wait_queue
test_wait4_11_graph.txt,wait4,_raw_spin_lock_irqsave
test_wait4_11_graph.txt,wait4,_raw_spin_unlock_irqrestore
