파일명,시스템콜,해당함수
test_waitid_67_graph.txt,waitid,kernel_waitid
test_waitid_67_graph.txt,dup,ksys_dup
test_waitid_67_graph.txt,dup,get_unused_fd_flags
test_waitid_67_graph.txt,dup,__alloc_fd
test_waitid_67_graph.txt,dup,_raw_spin_lock
test_waitid_67_graph.txt,dup,expand_files
test_waitid_67_graph.txt,dup,__fd_install
test_waitid_21_graph.txt,waitid,kernel_waitid
test_waitid_21_graph.txt,dup,ksys_dup
test_waitid_21_graph.txt,dup,get_unused_fd_flags
test_waitid_21_graph.txt,dup,__alloc_fd
test_waitid_21_graph.txt,dup,_raw_spin_lock
test_waitid_21_graph.txt,dup,expand_files
test_waitid_21_graph.txt,dup,__fd_install
test_waitid_100_graph.txt,waitid,kernel_waitid
test_waitid_100_graph.txt,dup,ksys_dup
test_waitid_100_graph.txt,dup,get_unused_fd_flags
test_waitid_100_graph.txt,dup,__alloc_fd
test_waitid_100_graph.txt,dup,_raw_spin_lock
test_waitid_100_graph.txt,dup,expand_files
test_waitid_100_graph.txt,dup,smp_irq_work_interrupt
test_waitid_100_graph.txt,dup,irq_enter
test_waitid_100_graph.txt,dup,rcu_irq_enter
test_waitid_100_graph.txt,dup,__wake_up
test_waitid_100_graph.txt,dup,__wake_up_common_lock
test_waitid_100_graph.txt,dup,_raw_spin_lock_irqsave
test_waitid_100_graph.txt,dup,__wake_up_common
test_waitid_100_graph.txt,dup,_raw_spin_unlock_irqrestore
test_waitid_100_graph.txt,dup,irq_exit
test_waitid_100_graph.txt,dup,idle_cpu
test_waitid_100_graph.txt,dup,rcu_irq_exit
test_waitid_100_graph.txt,dup,__fd_install
test_waitid_97_graph.txt,waitid,kernel_waitid
test_waitid_97_graph.txt,dup,ksys_dup
test_waitid_97_graph.txt,dup,get_unused_fd_flags
test_waitid_97_graph.txt,dup,__alloc_fd
test_waitid_97_graph.txt,dup,_raw_spin_lock
test_waitid_97_graph.txt,dup,expand_files
test_waitid_97_graph.txt,dup,__fd_install
test_waitid_28_graph.txt,waitid,kernel_waitid
test_waitid_28_graph.txt,dup,ksys_dup
test_waitid_28_graph.txt,dup,get_unused_fd_flags
test_waitid_28_graph.txt,dup,__alloc_fd
test_waitid_28_graph.txt,dup,_raw_spin_lock
test_waitid_28_graph.txt,dup,expand_files
test_waitid_28_graph.txt,dup,__fd_install
test_waitid_13_graph.txt,waitid,kernel_waitid
test_waitid_13_graph.txt,dup,ksys_dup
test_waitid_13_graph.txt,dup,get_unused_fd_flags
test_waitid_13_graph.txt,dup,__alloc_fd
test_waitid_13_graph.txt,dup,_raw_spin_lock
test_waitid_13_graph.txt,dup,expand_files
test_waitid_13_graph.txt,dup,__fd_install
test_waitid_60_graph.txt,waitid,kernel_waitid
test_waitid_60_graph.txt,waitid,do_wait
test_waitid_60_graph.txt,waitid,add_wait_queue
test_waitid_60_graph.txt,waitid,_raw_spin_lock_irqsave
test_waitid_60_graph.txt,waitid,_raw_spin_unlock_irqrestore
test_waitid_60_graph.txt,waitid,_raw_read_lock
test_waitid_60_graph.txt,waitid,remove_wait_queue
test_waitid_60_graph.txt,waitid,_raw_spin_lock_irqsave
test_waitid_60_graph.txt,waitid,_raw_spin_unlock_irqrestore
test_waitid_60_graph.txt,waitid,put_pid
test_waitid_60_graph.txt,dup,ksys_dup
test_waitid_60_graph.txt,dup,get_unused_fd_flags
test_waitid_60_graph.txt,dup,__alloc_fd
test_waitid_60_graph.txt,dup,_raw_spin_lock
test_waitid_60_graph.txt,dup,expand_files
test_waitid_60_graph.txt,dup,__fd_install
test_waitid_60_graph.txt,dup,smp_irq_work_interrupt
test_waitid_60_graph.txt,dup,irq_enter
test_waitid_60_graph.txt,dup,rcu_irq_enter
test_waitid_60_graph.txt,dup,__wake_up
test_waitid_60_graph.txt,dup,__wake_up_common_lock
test_waitid_60_graph.txt,dup,_raw_spin_lock_irqsave
test_waitid_60_graph.txt,dup,__wake_up_common
test_waitid_60_graph.txt,dup,_raw_spin_unlock_irqrestore
test_waitid_60_graph.txt,dup,irq_exit
test_waitid_60_graph.txt,dup,idle_cpu
test_waitid_60_graph.txt,dup,rcu_irq_exit
test_waitid_9_graph.txt,waitid,kernel_waitid
test_waitid_9_graph.txt,dup,ksys_dup
test_waitid_9_graph.txt,dup,get_unused_fd_flags
test_waitid_9_graph.txt,dup,__alloc_fd
test_waitid_9_graph.txt,dup,_raw_spin_lock
test_waitid_9_graph.txt,dup,expand_files
test_waitid_9_graph.txt,dup,__fd_install
test_waitid_47_graph.txt,waitid,kernel_waitid
test_waitid_47_graph.txt,waitid,do_wait
test_waitid_47_graph.txt,waitid,add_wait_queue
test_waitid_47_graph.txt,waitid,_raw_spin_lock_irqsave
test_waitid_47_graph.txt,waitid,_raw_spin_unlock_irqrestore
test_waitid_47_graph.txt,waitid,_raw_read_lock
test_waitid_47_graph.txt,waitid,remove_wait_queue
test_waitid_47_graph.txt,waitid,_raw_spin_lock_irqsave
test_waitid_47_graph.txt,waitid,_raw_spin_unlock_irqrestore
test_waitid_47_graph.txt,waitid,put_pid
test_waitid_47_graph.txt,dup,ksys_dup
test_waitid_47_graph.txt,dup,get_unused_fd_flags
test_waitid_47_graph.txt,dup,__alloc_fd
test_waitid_47_graph.txt,dup,_raw_spin_lock
test_waitid_47_graph.txt,dup,expand_files
test_waitid_47_graph.txt,dup,__fd_install
test_waitid_47_graph.txt,dup,fpregs_assert_state_consistent
test_waitid_47_graph.txt,dup,__x64_sys_fcntl
test_waitid_47_graph.txt,dup,__fdget_raw
test_waitid_47_graph.txt,dup,__fget_light
test_waitid_47_graph.txt,dup,security_file_fcntl
test_waitid_47_graph.txt,dup,do_fcntl
test_waitid_47_graph.txt,dup,__x64_sys_newfstat
test_waitid_47_graph.txt,dup,vfs_statx_fd
test_waitid_47_graph.txt,dup,__fdget_raw
test_waitid_47_graph.txt,dup,__fget_light
test_waitid_47_graph.txt,dup,vfs_getattr
test_waitid_47_graph.txt,dup,security_inode_getattr
test_waitid_47_graph.txt,dup,apparmor_inode_getattr
test_waitid_47_graph.txt,dup,common_perm_cond
test_waitid_47_graph.txt,dup,common_perm
test_waitid_47_graph.txt,dup,vfs_getattr_nosec
test_waitid_47_graph.txt,dup,generic_fillattr
test_waitid_47_graph.txt,dup,cp_new_stat
test_waitid_47_graph.txt,dup,from_kuid_munged
test_waitid_47_graph.txt,dup,map_id_up
test_waitid_47_graph.txt,dup,from_kgid_munged
test_waitid_47_graph.txt,dup,map_id_up
test_waitid_47_graph.txt,dup,smp_irq_work_interrupt
test_waitid_47_graph.txt,dup,irq_enter
test_waitid_47_graph.txt,dup,rcu_irq_enter
test_waitid_47_graph.txt,dup,__wake_up
test_waitid_47_graph.txt,dup,__wake_up_common_lock
test_waitid_47_graph.txt,dup,_raw_spin_lock_irqsave
test_waitid_47_graph.txt,dup,__wake_up_common
test_waitid_47_graph.txt,dup,pollwake
test_waitid_47_graph.txt,dup,default_wake_function
test_waitid_47_graph.txt,dup,try_to_wake_up
test_waitid_47_graph.txt,dup,_raw_spin_lock_irqsave
test_waitid_47_graph.txt,dup,select_task_rq_fair
test_waitid_47_graph.txt,dup,select_idle_sibling
test_waitid_47_graph.txt,dup,available_idle_cpu
test_waitid_47_graph.txt,dup,native_smp_send_reschedule
test_waitid_47_graph.txt,dup,x2apic_send_IPI
test_waitid_47_graph.txt,dup,_raw_spin_unlock_irqrestore
test_waitid_47_graph.txt,dup,_raw_spin_unlock_irqrestore
test_waitid_47_graph.txt,dup,irq_exit
test_waitid_47_graph.txt,dup,idle_cpu
test_waitid_47_graph.txt,dup,rcu_irq_exit
test_waitid_47_graph.txt,dup,smp_apic_timer_interrupt
test_waitid_47_graph.txt,dup,irq_enter
test_waitid_47_graph.txt,dup,rcu_irq_enter
test_waitid_47_graph.txt,dup,hrtimer_interrupt
test_waitid_47_graph.txt,dup,_raw_spin_lock_irqsave
test_waitid_47_graph.txt,dup,ktime_get_update_offsets_now
test_waitid_47_graph.txt,dup,__hrtimer_run_queues
test_waitid_47_graph.txt,dup,__remove_hrtimer
test_waitid_47_graph.txt,dup,_raw_spin_unlock_irqrestore
test_waitid_47_graph.txt,dup,tick_sched_timer
test_waitid_47_graph.txt,dup,ktime_get
test_waitid_47_graph.txt,dup,tick_sched_do_timer
test_waitid_47_graph.txt,dup,tick_do_update_jiffies64.part.14
test_waitid_47_graph.txt,dup,_raw_spin_lock
test_waitid_47_graph.txt,dup,do_timer
test_waitid_47_graph.txt,dup,calc_global_load
test_waitid_47_graph.txt,dup,update_wall_time
test_waitid_47_graph.txt,dup,timekeeping_advance
test_waitid_47_graph.txt,dup,_raw_spin_lock_irqsave
test_waitid_47_graph.txt,dup,ntp_tick_length
test_waitid_47_graph.txt,dup,timekeeping_update
test_waitid_47_graph.txt,dup,ntp_get_next_leap
test_waitid_47_graph.txt,dup,update_vsyscall
test_waitid_47_graph.txt,dup,raw_notifier_call_chain
test_waitid_47_graph.txt,dup,notifier_call_chain
test_waitid_47_graph.txt,dup,update_fast_timekeeper
test_waitid_47_graph.txt,dup,_raw_spin_unlock_irqrestore
test_waitid_47_graph.txt,dup,tick_sched_handle
test_waitid_47_graph.txt,dup,update_process_times
test_waitid_47_graph.txt,dup,account_process_tick
test_waitid_47_graph.txt,dup,account_system_time
test_waitid_47_graph.txt,dup,account_system_index_time
test_waitid_47_graph.txt,dup,cpuacct_account_field
test_waitid_47_graph.txt,dup,__cgroup_account_cputime_field
test_waitid_47_graph.txt,dup,cgroup_rstat_updated
test_waitid_47_graph.txt,dup,acct_account_cputime
test_waitid_47_graph.txt,dup,__acct_update_integrals
test_waitid_47_graph.txt,dup,run_local_timers
test_waitid_47_graph.txt,dup,hrtimer_run_queues
test_waitid_47_graph.txt,dup,raise_softirq
test_waitid_47_graph.txt,dup,rcu_sched_clock_irq
test_waitid_47_graph.txt,dup,invoke_rcu_core
test_waitid_47_graph.txt,dup,raise_softirq
test_waitid_47_graph.txt,dup,scheduler_tick
test_waitid_47_graph.txt,dup,_raw_spin_lock
test_waitid_47_graph.txt,dup,update_rq_clock
test_waitid_47_graph.txt,dup,task_tick_fair
test_waitid_47_graph.txt,dup,update_curr
test_waitid_47_graph.txt,dup,update_min_vruntime
test_waitid_47_graph.txt,dup,cpuacct_charge
test_waitid_47_graph.txt,dup,__cgroup_account_cputime
test_waitid_47_graph.txt,dup,cgroup_rstat_updated
test_waitid_47_graph.txt,dup,__calc_delta
test_waitid_47_graph.txt,dup,__update_load_avg_se
test_waitid_47_graph.txt,dup,__accumulate_pelt_segments
test_waitid_47_graph.txt,dup,__update_load_avg_cfs_rq
test_waitid_47_graph.txt,dup,__accumulate_pelt_segments
test_waitid_47_graph.txt,dup,update_cfs_group
test_waitid_47_graph.txt,dup,reweight_entity
test_waitid_47_graph.txt,dup,update_curr
test_waitid_47_graph.txt,dup,account_entity_dequeue
