파일명,시스템콜,해당함수
setxattr_security_capability_vfs_ns_cap_data_XATTR_REPLACE_graph.txt,setxattr,path_setxattr
setxattr_security_capability_vfs_ns_cap_data_XATTR_REPLACE_graph.txt,setxattr,user_path_at_empty
setxattr_security_capability_vfs_ns_cap_data_XATTR_REPLACE_graph.txt,setxattr,getname_flags
setxattr_security_capability_vfs_ns_cap_data_XATTR_REPLACE_graph.txt,setxattr,kmem_cache_alloc
setxattr_security_capability_vfs_ns_cap_data_XATTR_REPLACE_graph.txt,setxattr,_cond_resched
setxattr_security_capability_vfs_ns_cap_data_XATTR_REPLACE_graph.txt,setxattr,rcu_all_qs
setxattr_security_capability_vfs_ns_cap_data_XATTR_REPLACE_graph.txt,setxattr,should_failslab
setxattr_security_capability_vfs_ns_cap_data_XATTR_REPLACE_graph.txt,setxattr,memcg_kmem_put_cache
setxattr_security_capability_vfs_ns_cap_data_XATTR_REPLACE_graph.txt,setxattr,__check_object_size
setxattr_security_capability_vfs_ns_cap_data_XATTR_REPLACE_graph.txt,setxattr,check_stack_object
setxattr_security_capability_vfs_ns_cap_data_XATTR_REPLACE_graph.txt,setxattr,__virt_addr_valid
setxattr_security_capability_vfs_ns_cap_data_XATTR_REPLACE_graph.txt,setxattr,__check_heap_object
setxattr_security_capability_vfs_ns_cap_data_XATTR_REPLACE_graph.txt,setxattr,filename_lookup
setxattr_security_capability_vfs_ns_cap_data_XATTR_REPLACE_graph.txt,setxattr,path_lookupat
setxattr_security_capability_vfs_ns_cap_data_XATTR_REPLACE_graph.txt,setxattr,path_init
setxattr_security_capability_vfs_ns_cap_data_XATTR_REPLACE_graph.txt,setxattr,link_path_walk.part.33
setxattr_security_capability_vfs_ns_cap_data_XATTR_REPLACE_graph.txt,setxattr,inode_permission
setxattr_security_capability_vfs_ns_cap_data_XATTR_REPLACE_graph.txt,setxattr,generic_permission
setxattr_security_capability_vfs_ns_cap_data_XATTR_REPLACE_graph.txt,setxattr,get_cached_acl_rcu
setxattr_security_capability_vfs_ns_cap_data_XATTR_REPLACE_graph.txt,setxattr,in_group_p
setxattr_security_capability_vfs_ns_cap_data_XATTR_REPLACE_graph.txt,setxattr,security_inode_permission
setxattr_security_capability_vfs_ns_cap_data_XATTR_REPLACE_graph.txt,setxattr,walk_component
setxattr_security_capability_vfs_ns_cap_data_XATTR_REPLACE_graph.txt,setxattr,walk_component
setxattr_security_capability_vfs_ns_cap_data_XATTR_REPLACE_graph.txt,setxattr,lookup_fast
setxattr_security_capability_vfs_ns_cap_data_XATTR_REPLACE_graph.txt,setxattr,__d_lookup_rcu
setxattr_security_capability_vfs_ns_cap_data_XATTR_REPLACE_graph.txt,setxattr,__follow_mount_rcu.isra.28
setxattr_security_capability_vfs_ns_cap_data_XATTR_REPLACE_graph.txt,setxattr,complete_walk
setxattr_security_capability_vfs_ns_cap_data_XATTR_REPLACE_graph.txt,setxattr,unlazy_walk
setxattr_security_capability_vfs_ns_cap_data_XATTR_REPLACE_graph.txt,setxattr,legitimize_links
setxattr_security_capability_vfs_ns_cap_data_XATTR_REPLACE_graph.txt,setxattr,legitimize_path.isra.30
setxattr_security_capability_vfs_ns_cap_data_XATTR_REPLACE_graph.txt,setxattr,__legitimize_mnt
setxattr_security_capability_vfs_ns_cap_data_XATTR_REPLACE_graph.txt,setxattr,legitimize_root
setxattr_security_capability_vfs_ns_cap_data_XATTR_REPLACE_graph.txt,setxattr,terminate_walk
setxattr_security_capability_vfs_ns_cap_data_XATTR_REPLACE_graph.txt,setxattr,dput
setxattr_security_capability_vfs_ns_cap_data_XATTR_REPLACE_graph.txt,setxattr,mntput
setxattr_security_capability_vfs_ns_cap_data_XATTR_REPLACE_graph.txt,setxattr,restore_nameidata
setxattr_security_capability_vfs_ns_cap_data_XATTR_REPLACE_graph.txt,setxattr,putname
setxattr_security_capability_vfs_ns_cap_data_XATTR_REPLACE_graph.txt,setxattr,kmem_cache_free
setxattr_security_capability_vfs_ns_cap_data_XATTR_REPLACE_graph.txt,setxattr,mnt_want_write
setxattr_security_capability_vfs_ns_cap_data_XATTR_REPLACE_graph.txt,setxattr,__sb_start_write
setxattr_security_capability_vfs_ns_cap_data_XATTR_REPLACE_graph.txt,setxattr,_cond_resched
setxattr_security_capability_vfs_ns_cap_data_XATTR_REPLACE_graph.txt,setxattr,rcu_all_qs
setxattr_security_capability_vfs_ns_cap_data_XATTR_REPLACE_graph.txt,setxattr,__mnt_want_write
setxattr_security_capability_vfs_ns_cap_data_XATTR_REPLACE_graph.txt,setxattr,setxattr
setxattr_security_capability_vfs_ns_cap_data_XATTR_REPLACE_graph.txt,setxattr,__check_object_size
setxattr_security_capability_vfs_ns_cap_data_XATTR_REPLACE_graph.txt,setxattr,check_stack_object
setxattr_security_capability_vfs_ns_cap_data_XATTR_REPLACE_graph.txt,setxattr,__virt_addr_valid
setxattr_security_capability_vfs_ns_cap_data_XATTR_REPLACE_graph.txt,setxattr,__check_heap_object
setxattr_security_capability_vfs_ns_cap_data_XATTR_REPLACE_graph.txt,setxattr,kvmalloc_node
setxattr_security_capability_vfs_ns_cap_data_XATTR_REPLACE_graph.txt,setxattr,__kmalloc_node
setxattr_security_capability_vfs_ns_cap_data_XATTR_REPLACE_graph.txt,setxattr,kmalloc_slab
setxattr_security_capability_vfs_ns_cap_data_XATTR_REPLACE_graph.txt,setxattr,_cond_resched
setxattr_security_capability_vfs_ns_cap_data_XATTR_REPLACE_graph.txt,setxattr,rcu_all_qs
setxattr_security_capability_vfs_ns_cap_data_XATTR_REPLACE_graph.txt,setxattr,should_failslab
setxattr_security_capability_vfs_ns_cap_data_XATTR_REPLACE_graph.txt,setxattr,memcg_kmem_put_cache
setxattr_security_capability_vfs_ns_cap_data_XATTR_REPLACE_graph.txt,setxattr,vfs_setxattr
setxattr_security_capability_vfs_ns_cap_data_XATTR_REPLACE_graph.txt,setxattr,cap_convert_nscap
setxattr_security_capability_vfs_ns_cap_data_XATTR_REPLACE_graph.txt,setxattr,capable_wrt_inode_uidgid
setxattr_security_capability_vfs_ns_cap_data_XATTR_REPLACE_graph.txt,setxattr,ns_capable_common
setxattr_security_capability_vfs_ns_cap_data_XATTR_REPLACE_graph.txt,setxattr,security_capable
setxattr_security_capability_vfs_ns_cap_data_XATTR_REPLACE_graph.txt,setxattr,cap_capable
setxattr_security_capability_vfs_ns_cap_data_XATTR_REPLACE_graph.txt,setxattr,apparmor_capable
setxattr_security_capability_vfs_ns_cap_data_XATTR_REPLACE_graph.txt,setxattr,privileged_wrt_inode_uidgid
setxattr_security_capability_vfs_ns_cap_data_XATTR_REPLACE_graph.txt,setxattr,from_kuid
setxattr_security_capability_vfs_ns_cap_data_XATTR_REPLACE_graph.txt,setxattr,map_id_up
setxattr_security_capability_vfs_ns_cap_data_XATTR_REPLACE_graph.txt,setxattr,from_kgid
setxattr_security_capability_vfs_ns_cap_data_XATTR_REPLACE_graph.txt,setxattr,map_id_up
setxattr_security_capability_vfs_ns_cap_data_XATTR_REPLACE_graph.txt,setxattr,make_kuid
setxattr_security_capability_vfs_ns_cap_data_XATTR_REPLACE_graph.txt,setxattr,map_id_range_down
setxattr_security_capability_vfs_ns_cap_data_XATTR_REPLACE_graph.txt,setxattr,from_kuid
setxattr_security_capability_vfs_ns_cap_data_XATTR_REPLACE_graph.txt,setxattr,map_id_up
setxattr_security_capability_vfs_ns_cap_data_XATTR_REPLACE_graph.txt,setxattr,kmem_cache_alloc_trace
setxattr_security_capability_vfs_ns_cap_data_XATTR_REPLACE_graph.txt,setxattr,should_failslab
setxattr_security_capability_vfs_ns_cap_data_XATTR_REPLACE_graph.txt,setxattr,memcg_kmem_put_cache
setxattr_security_capability_vfs_ns_cap_data_XATTR_REPLACE_graph.txt,setxattr,down_write
setxattr_security_capability_vfs_ns_cap_data_XATTR_REPLACE_graph.txt,setxattr,_cond_resched
setxattr_security_capability_vfs_ns_cap_data_XATTR_REPLACE_graph.txt,setxattr,rcu_all_qs
setxattr_security_capability_vfs_ns_cap_data_XATTR_REPLACE_graph.txt,setxattr,__vfs_setxattr_locked
setxattr_security_capability_vfs_ns_cap_data_XATTR_REPLACE_graph.txt,setxattr,xattr_permission
setxattr_security_capability_vfs_ns_cap_data_XATTR_REPLACE_graph.txt,setxattr,security_inode_setxattr
setxattr_security_capability_vfs_ns_cap_data_XATTR_REPLACE_graph.txt,setxattr,cap_inode_setxattr
setxattr_security_capability_vfs_ns_cap_data_XATTR_REPLACE_graph.txt,setxattr,ima_inode_setxattr
setxattr_security_capability_vfs_ns_cap_data_XATTR_REPLACE_graph.txt,setxattr,evm_inode_setxattr
setxattr_security_capability_vfs_ns_cap_data_XATTR_REPLACE_graph.txt,setxattr,evm_protect_xattr.isra.6
setxattr_security_capability_vfs_ns_cap_data_XATTR_REPLACE_graph.txt,setxattr,evm_protected_xattr
setxattr_security_capability_vfs_ns_cap_data_XATTR_REPLACE_graph.txt,setxattr,evm_verify_current_integrity
setxattr_security_capability_vfs_ns_cap_data_XATTR_REPLACE_graph.txt,setxattr,__vfs_setxattr_noperm
setxattr_security_capability_vfs_ns_cap_data_XATTR_REPLACE_graph.txt,setxattr,__vfs_setxattr
setxattr_security_capability_vfs_ns_cap_data_XATTR_REPLACE_graph.txt,setxattr,xattr_resolve_name
setxattr_security_capability_vfs_ns_cap_data_XATTR_REPLACE_graph.txt,setxattr,ext4_xattr_security_set
setxattr_security_capability_vfs_ns_cap_data_XATTR_REPLACE_graph.txt,setxattr,ext4_xattr_set
setxattr_security_capability_vfs_ns_cap_data_XATTR_REPLACE_graph.txt,setxattr,dquot_initialize
setxattr_security_capability_vfs_ns_cap_data_XATTR_REPLACE_graph.txt,setxattr,__dquot_initialize
setxattr_security_capability_vfs_ns_cap_data_XATTR_REPLACE_graph.txt,setxattr,ext4_xattr_set_credits.part.34
setxattr_security_capability_vfs_ns_cap_data_XATTR_REPLACE_graph.txt,setxattr,down_read
setxattr_security_capability_vfs_ns_cap_data_XATTR_REPLACE_graph.txt,setxattr,_cond_resched
setxattr_security_capability_vfs_ns_cap_data_XATTR_REPLACE_graph.txt,setxattr,rcu_all_qs
setxattr_security_capability_vfs_ns_cap_data_XATTR_REPLACE_graph.txt,setxattr,ext4_xattr_get_block
setxattr_security_capability_vfs_ns_cap_data_XATTR_REPLACE_graph.txt,setxattr,ext4_sb_bread
setxattr_security_capability_vfs_ns_cap_data_XATTR_REPLACE_graph.txt,setxattr,__getblk_gfp
setxattr_security_capability_vfs_ns_cap_data_XATTR_REPLACE_graph.txt,setxattr,__find_get_block
setxattr_security_capability_vfs_ns_cap_data_XATTR_REPLACE_graph.txt,setxattr,mark_page_accessed
setxattr_security_capability_vfs_ns_cap_data_XATTR_REPLACE_graph.txt,setxattr,_cond_resched
setxattr_security_capability_vfs_ns_cap_data_XATTR_REPLACE_graph.txt,setxattr,rcu_all_qs
setxattr_security_capability_vfs_ns_cap_data_XATTR_REPLACE_graph.txt,setxattr,__ext4_xattr_set_credits
setxattr_security_capability_vfs_ns_cap_data_XATTR_REPLACE_graph.txt,setxattr,__brelse
setxattr_security_capability_vfs_ns_cap_data_XATTR_REPLACE_graph.txt,setxattr,up_read
setxattr_security_capability_vfs_ns_cap_data_XATTR_REPLACE_graph.txt,setxattr,__ext4_journal_start_sb
setxattr_security_capability_vfs_ns_cap_data_XATTR_REPLACE_graph.txt,setxattr,ext4_journal_check_start
setxattr_security_capability_vfs_ns_cap_data_XATTR_REPLACE_graph.txt,setxattr,_cond_resched
setxattr_security_capability_vfs_ns_cap_data_XATTR_REPLACE_graph.txt,setxattr,rcu_all_qs
setxattr_security_capability_vfs_ns_cap_data_XATTR_REPLACE_graph.txt,setxattr,jbd2__journal_start
