해당함수,시스템콜 목록,CVE(패치버전) 목록
do_set_mempolicy,set_mempolicy,CVE-2021-47462(?)
kfree,"accept, access, add_key, alarm, arch_prctl, bind, capset, chroot, clock_adjtime, clock_nanosleep, clock_settime, clone, close, connect, creat, epoll_pwait2, eventfd2, exit_group, faccessat, fallocate, fanotify_init, fanotify_mark, fremovexattr, fsconfig, fsetxattr, fsmount, fsopen, fspick, ftruncate, futex, get_robust_list, getcpu, getdents64, getgid, getpgrp, getpid, getpriority, getresgid, getresuid, getsid, getsockname, getuid, inotify_add_watch, inotify_init, inotify_init1, inotify_rm_watch, io_destroy, io_uring_enter, io_uring_register, io_uring_setup, ioctl, ioperm, iopl, ioprio_set, keyctl, landlock_add_rule, landlock_create_ruleset, landlock_restrict_self, linkat, listen, lremovexattr, lsetxattr, mbind, membarrier, memfd_create, mkdir, mknod, mknodat, mmap, modify_ldt, mount, mount_setattr, move_mount, mq_timedreceive, mq_unlink, mremap, msgrcv, msync, munmap, newuname, open_tree, openat, pidfd_getfd, pidfd_open, prctl, preadv, preadv2, prlimit64, pwritev, pwritev2, quotactl, readlink, readlinkat, readv, recvfrom, recvmsg, removexattr, renameat, renameat2, request_key, rt_sigaction, sched_getaffinity, sched_getscheduler, sched_setaffinity, sched_setattr, sched_setscheduler, semget, semtimedop, sendmsg, set_mempolicy, set_robust_list, setdomainname, sethostname, setns, setpriority, setsockopt, setxattr, shmat, shmctl, shmdt, shmget, socket, statx, swapoff, swapon, symlink, sync, syslog, times, truncate, umount, unlink, unshare, userfaultfd, vmsplice, wait4, write, writev",CVE-2024-36890(?)
handle_mm_fault,"add_key, brk, capset, clock_adjtime, clock_nanosleep, clock_settime, clone, close, creat, exit_group, fsopen, getgid, getitimer, getpid, getpriority, getuid, inotify_add_watch, io_cancel, io_destroy, io_getevents, io_pgetevents, io_submit, ioctl, ioprio_set, keyctl, lremovexattr, lsetxattr, memfd_create, mkdir, mknod, mlock, mmap, mount_setattr, move_mount, mq_notify, newstat, newuname, open_tree, openat, personality, prctl, prlimit64, quotactl, read, readlink, removexattr, rt_sigaction, rt_sigprocmask, sched_get_priority_min, sched_getaffinity, sched_getscheduler, sched_setattr, setpriority, setxattr, socket, statfs, swapoff, swapon, symlink, sysinfo, time, umask, umount, unlink, wait4, write",CVE-2023-3269(6.3.10)
vfs_getattr,"newfstat, newfstatat, newlstat, newstat, statx",CVE-2023-52779(?)
vfs_getattr_nosec,"newfstat, newfstatat, newlstat, newstat, statx",CVE-2023-52779(?)
pty_write,write,CVE-2022-1462(?)
hrtimer_start_range_ns,"alarm, clock_nanosleep, nanosleep, poll, ppoll, pselect6, sched_setattr, sched_setscheduler, select, setitimer",CVE-2017-5967(?)
drain_obj_stock,"access, bind, chmod, clone, close, connect, creat, dup2, dup3, epoll_create1, eventfd2, exit_group, faccessat, fallocate, fanotify_init, fchmodat, fremovexattr, fsetxattr, fsopen, getpid, inotify_init, inotify_init1, io_setup, io_uring_setup, ioprio_get, ioprio_set, keyctl, kill, landlock_create_ruleset, lremovexattr, lsetxattr, memfd_create, mknod, mknodat, mmap, modify_ldt, mq_open, mq_unlink, msgget, munmap, openat, pidfd_open, pipe, pipe2, prctl, recvmsg, removexattr, semget, semtimedop, sendmsg, setfsgid, setfsuid, setgid, setpriority, setuid, setxattr, shmget, socket, socketpair, swapoff, swapon, unlink, unshare, userfaultfd, wait4, write, writev",CVE-2021-47011(?)
__fsnotify_parent,"chmod, close, creat, exit_group, fallocate, fchmodat, fremovexattr, fsetxattr, ftruncate, futimesat, getdents64, lremovexattr, lsetxattr, openat, pread64, preadv, preadv2, pwrite64, pwritev, pwritev2, readv, removexattr, setxattr, truncate, utime, utimensat, utimes, write, writev",CVE-2017-7533(4.12.4)
mntput_no_expire,"access, bind, chmod, chroot, close, connect, creat, exit_group, faccessat, fanotify_mark, fchmodat, fsmount, fspick, futimesat, inotify_add_watch, linkat, lremovexattr, lsetxattr, mkdir, mknod, mknodat, mq_open, newfstatat, newlstat, newstat, open_tree, openat, quotactl, readlink, readlinkat, removexattr, renameat, renameat2, sendmsg, setxattr, shmctl, shmdt, statfs, statx, swapon, symlink, truncate, unlink, unshare, utime, utimensat, utimes",CVE-2020-12114(5.2.21)
do_epoll_ctl,epoll_ctl,CVE-2020-0466(?)
