해당함수,시스템콜 목록,CVE(패치버전) 목록
do_set_mempolicy,set_mempolicy,CVE-2021-47462(?)
kfree,"accept, access, add_key, arch_prctl, bind, clock_nanosleep, clone, close, connect, creat, epoll_pwait2, eventfd2, exit_group, faccessat, fallocate, fanotify_init, fremovexattr, fsetxattr, fsopen, fspick, ftruncate, futex, get_robust_list, getcpu, getdents64, getpid, getresgid, getresuid, getsid, inotify_add_watch, inotify_init, inotify_init1, inotify_rm_watch, io_destroy, io_uring_enter, io_uring_register, io_uring_setup, ioperm, keyctl, landlock_add_rule, landlock_create_ruleset, landlock_restrict_self, listen, lremovexattr, lsetxattr, mbind, membarrier, memfd_create, mkdir, mknod, mknodat, mmap, modify_ldt, mount, mount_setattr, move_mount, mq_timedreceive, mq_unlink, mremap, msgrcv, msync, munmap, open_tree, openat, pidfd_getfd, pidfd_open, prctl, preadv, preadv2, pwritev, pwritev2, quotactl, readv, recvfrom, recvmsg, removexattr, request_key, sched_getaffinity, sched_setaffinity, semget, semtimedop, sendmsg, set_mempolicy, set_robust_list, setns, setsockopt, setxattr, shmdt, socket, statx, swapoff, swapon, sync, times, truncate, umount, unlink, unshare, userfaultfd, vmsplice, wait4, write, writev",CVE-2024-36890(?)
drain_obj_stock,"access, bind, chmod, clone, close, connect, creat, dup2, dup3, epoll_create1, eventfd2, exit_group, faccessat, fallocate, fanotify_init, fchmodat, fremovexattr, fsetxattr, fsopen, getpid, inotify_init, inotify_init1, io_setup, io_uring_setup, ioprio_get, ioprio_set, keyctl, kill, landlock_create_ruleset, lremovexattr, lsetxattr, memfd_create, mknod, mknodat, mmap, modify_ldt, mq_open, mq_unlink, msgget, munmap, openat, pidfd_open, pipe, pipe2, prctl, recvmsg, removexattr, semget, semtimedop, sendmsg, setfsgid, setfsuid, setgid, setpriority, setuid, setxattr, shmget, socket, socketpair, swapoff, swapon, unlink, unshare, userfaultfd, wait4, write, writev",CVE-2021-47011(?)
handle_mm_fault,"add_key, brk, clock_nanosleep, clone, close, creat, exit_group, fsopen, getgid, getitimer, getpid, getpriority, getuid, inotify_add_watch, io_cancel, io_destroy, io_getevents, io_pgetevents, io_submit, ioprio_set, keyctl, lremovexattr, lsetxattr, memfd_create, mkdir, mknod, mlock, mmap, mount_setattr, move_mount, mq_notify, newstat, newuname, open_tree, openat, personality, prctl, prlimit64, quotactl, read, readlink, removexattr, rt_sigaction, rt_sigprocmask, sched_get_priority_min, sched_getaffinity, setpriority, setxattr, socket, statfs, swapoff, swapon, sysinfo, time, umask, umount, wait4, write",CVE-2023-3269(6.3.10)
do_epoll_ctl,epoll_ctl,CVE-2020-0466(?)
sched_fork,"clone, io_uring_setup",CVE-2022-48944(?)
__hrtimer_init,"clock_nanosleep, clone, futex, io_uring_setup, nanosleep, poll, ppoll, pselect6, select, socket, unshare",CVE-2017-5967(?)
copy_thread,"clone, io_uring_setup",CVE-2024-35871(?)
sched_post_fork,"clone, io_uring_setup",CVE-2022-48944(?)
cgroup_move_task,"clone, io_uring_setup",CVE-2022-2938(5.16.4)
